rawID	subjID	rt	choice	effort	reward	group	framework	group_framework	trials
1	1001	11.627	1	2	-25	PA	loss	loss1	1
1	1001	1.442	0	8	-5	PA	loss	loss1	2
1	1001	1.684	0	10	-10	PA	loss	loss1	3
1	1001	3.683	0	8	-15	PA	loss	loss1	4
1	1001	1.807	1	2	-5	PA	loss	loss1	5
1	1001	1.655	0	10	-5	PA	loss	loss1	6
1	1001	1.581	0	6	-5	PA	loss	loss1	7
1	1001	2.688	1	8	-20	PA	loss	loss1	8
1	1001	2.213	1	4	-10	PA	loss	loss1	9
1	1001	1.478	1	4	-20	PA	loss	loss1	10
1	1001	1.669	0	10	-20	PA	loss	loss1	11
1	1001	2.059	0	8	-10	PA	loss	loss1	12
1	1001	1.545	1	2	-20	PA	loss	loss1	13
1	1001	4.081	1	6	-25	PA	loss	loss1	14
1	1001	1.428	1	4	-25	PA	loss	loss1	15
1	1001	2.353	1	6	-20	PA	loss	loss1	16
1	1001	2.271	1	8	-25	PA	loss	loss1	17
1	1001	1.772	0	4	-15	PA	loss	loss1	18
1	1001	1.639	0	6	-10	PA	loss	loss1	19
1	1001	1.433	0	4	-5	PA	loss	loss1	20
1	1001	2.323	0	10	-15	PA	loss	loss1	21
1	1001	2.099	1	2	-15	PA	loss	loss1	22
1	1001	3.802	0	6	-15	PA	loss	loss1	23
1	1001	2.002	1	2	-10	PA	loss	loss1	24
1	1001	3.956	1	10	-25	PA	loss	loss1	25
1	1001	1.507	1	2	-25	PA	loss	loss1	26
1	1001	1.966	0	6	-5	PA	loss	loss1	27
1	1001	1.859	1	4	-15	PA	loss	loss1	28
1	1001	1.734	1	2	-15	PA	loss	loss1	29
1	1001	1.607	0	10	-15	PA	loss	loss1	30
1	1001	1.888	1	6	-20	PA	loss	loss1	31
1	1001	2.369	1	2	-5	PA	loss	loss1	32
1	1001	2.289	1	2	-20	PA	loss	loss1	33
1	1001	2.871	0	6	-10	PA	loss	loss1	34
1	1001	1.361	0	8	-5	PA	loss	loss1	35
1	1001	2.277	0	10	-20	PA	loss	loss1	36
1	1001	2.125	0	4	-5	PA	loss	loss1	37
1	1001	2.79	0	6	-15	PA	loss	loss1	38
1	1001	1.733	1	4	-25	PA	loss	loss1	39
1	1001	3.583	1	8	-25	PA	loss	loss1	40
1	1001	1.879	1	4	-10	PA	loss	loss1	41
1	1001	2.393	0	8	-15	PA	loss	loss1	42
1	1001	3.916	1	10	-25	PA	loss	loss1	43
1	1001	2.821	1	4	-20	PA	loss	loss1	44
1	1001	6.189	0	8	-10	PA	loss	loss1	45
1	1001	4.867	1	6	-25	PA	loss	loss1	46
1	1001	3.024	1	8	-20	PA	loss	loss1	47
1	1001	2.847	0	2	-10	PA	loss	loss1	48
1	1001	3.446	0	10	-5	PA	loss	loss1	49
1	1001	2.482	0	10	-10	PA	loss	loss1	50
3	1002	7	0	10	-25	PA	loss	loss1	1
3	1002	3.303	1	6	-15	PA	loss	loss1	2
3	1002	2.156	1	8	-10	PA	loss	loss1	3
3	1002	1.724	1	4	-15	PA	loss	loss1	4
3	1002	1.845	1	4	-25	PA	loss	loss1	5
3	1002	2.275	1	8	-20	PA	loss	loss1	6
3	1002	1.099	1	2	-25	PA	loss	loss1	7
3	1002	1.03	1	4	-10	PA	loss	loss1	8
3	1002	1.956	0	8	-5	PA	loss	loss1	9
3	1002	1.072	1	2	-10	PA	loss	loss1	10
3	1002	1.415	0	10	-20	PA	loss	loss1	11
3	1002	1.237	1	2	-15	PA	loss	loss1	12
3	1002	1.084	1	2	-5	PA	loss	loss1	13
3	1002	1.433	1	6	-25	PA	loss	loss1	14
3	1002	1.066	0	10	-15	PA	loss	loss1	15
3	1002	1.632	1	4	-20	PA	loss	loss1	16
3	1002	1.821	1	4	-5	PA	loss	loss1	17
3	1002	1.141	0	10	-10	PA	loss	loss1	18
3	1002	9.247	1	6	-5	PA	loss	loss1	19
3	1002	1.187	1	2	-20	PA	loss	loss1	20
3	1002	3.079	1	8	-25	PA	loss	loss1	21
3	1002	1.503	1	6	-10	PA	loss	loss1	22
3	1002	0.944	0	10	-5	PA	loss	loss1	23
3	1002	1.457	1	6	-20	PA	loss	loss1	24
3	1002	2.009	0	8	-15	PA	loss	loss1	25
3	1002	1.125	1	2	-10	PA	loss	loss1	26
3	1002	0.961	1	2	-5	PA	loss	loss1	27
3	1002	1.367	0	8	-5	PA	loss	loss1	28
3	1002	1.701	0	10	-5	PA	loss	loss1	29
3	1002	0.898	0	10	-10	PA	loss	loss1	30
3	1002	1.309	1	4	-5	PA	loss	loss1	31
3	1002	7.349	1	10	-20	PA	loss	loss1	32
3	1002	2.019	1	6	-10	PA	loss	loss1	33
3	1002	1.616	1	4	-25	PA	loss	loss1	34
3	1002	0.969	1	2	-20	PA	loss	loss1	35
3	1002	3.2	0	6	-5	PA	loss	loss1	36
3	1002	2.598	1	6	-20	PA	loss	loss1	37
3	1002	1.25	1	2	-15	PA	loss	loss1	38
3	1002	1.1	1	4	-20	PA	loss	loss1	39
3	1002	1.059	0	10	-25	PA	loss	loss1	40
3	1002	2.999	0	8	-25	PA	loss	loss1	41
3	1002	1.225	1	4	-10	PA	loss	loss1	42
3	1002	1.135	1	6	-25	PA	loss	loss1	43
3	1002	1.031	1	4	-15	PA	loss	loss1	44
